epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,9776.13,2.41511,3.2609,2.67567,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,9959.45,2.41619,3.25988,2.67451,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,10143.8,2.4144,3.25848,2.66678,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,10368.5,2.41508,3.26078,2.67333,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,10554,2.4168,3.26046,2.67214,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,10739,2.41539,3.259,2.67298,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,10924.2,2.41677,3.2601,2.67114,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,11109.5,2.41812,3.25957,2.67161,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,11294.2,2.41696,3.25919,2.67646,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,11479.2,2.41693,3.26022,2.67214,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,11662.4,2.41471,3.25948,2.67256,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,11845.6,2.41571,3.25679,2.67242,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,12029.1,2.41312,3.26085,2.6726,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,12214,2.41588,3.2583,2.67153,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,12398.9,2.41523,3.25918,2.66994,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,12583.7,2.41467,3.26204,2.67252,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,12767.8,2.41252,3.25974,2.67354,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,12952.4,2.41596,3.26124,2.67396,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,13136.1,2.41318,3.2587,2.66911,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,13320.2,2.41448,3.25876,2.67448,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,13504.7,2.41372,3.25987,2.67462,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,13688.5,2.41423,3.25719,2.66997,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,13872.3,2.41136,3.2608,2.67624,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,14055.8,2.41226,3.25654,2.67098,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,14239.5,2.41224,3.25999,2.672,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,14423.3,2.41396,3.26084,2.67288,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,14608,2.41306,3.26112,2.67323,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,14792.8,2.4129,3.25947,2.6755,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,14977.5,2.41706,3.25938,2.673,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,15162.5,2.41546,3.25861,2.67403,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,15346.9,2.41618,3.26033,2.67468,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,15530.4,2.41123,3.25936,2.67071,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,15714.3,2.41441,3.26234,2.67238,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,15898,2.41644,3.26032,2.6716,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,16081.9,2.41456,3.25907,2.67131,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,16266.8,2.41543,3.26088,2.67215,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,16451.9,2.41869,3.25927,2.67159,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,16636.3,2.41225,3.26185,2.67559,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,16866.5,2.31738,3.27027,2.67296,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,17048,2.26585,3.17108,2.64458,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,17229.1,2.22172,3.1688,2.58501,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,17409.6,2.20555,3.17154,2.56333,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,17589.1,2.19157,3.17651,2.5555,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,17768.4,2.18529,3.17808,2.5521,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,17948,2.17868,3.17982,2.54955,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,18126.5,2.17533,3.17939,2.5522,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,18305.7,2.17192,3.17792,2.55258,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
100,18692.5,2.17063,3.17995,2.55077,0.05903,0.05709,0.03237,0.00874,2.15544,3.17569,2.55372,0.000199,0.000199,0.000199
