epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,6700.38,0.60205,0.36357,1.27336,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,6809.88,0.59925,0.36231,1.26932,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,6918.67,0.59827,0.36141,1.27015,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,7027.59,0.59453,0.36014,1.26739,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,7136.48,0.59267,0.35856,1.26705,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,7246.08,0.59063,0.35692,1.26363,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,7355.89,0.58584,0.35519,1.26068,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,7465.52,0.5859,0.35477,1.26261,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,7574.32,0.58425,0.35407,1.2608,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,7684.31,0.57999,0.35227,1.25878,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,7794.96,0.57677,0.35033,1.25454,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,7905.09,0.57533,0.34933,1.25261,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,8015.09,0.57179,0.34785,1.25298,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,8124.95,0.56722,0.34547,1.24798,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,8234.75,0.56585,0.34384,1.24865,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,8344.6,0.56386,0.34292,1.24611,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,8453.9,0.56032,0.34217,1.24469,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,8563.09,0.55885,0.34129,1.2426,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,8672.81,0.558,0.34004,1.24354,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,8782.37,0.55391,0.3389,1.24076,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,8892.16,0.55058,0.33683,1.23782,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,9001.6,0.55032,0.33578,1.23632,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,9110.56,0.54698,0.33469,1.23638,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,9219.53,0.54094,0.33176,1.23275,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,9328.93,0.53939,0.33101,1.22936,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,9438.66,0.53614,0.32948,1.22612,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,9548.26,0.53335,0.32833,1.22506,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,9657.66,0.53123,0.32699,1.2234,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,9767.44,0.52841,0.3251,1.22003,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,9877.49,0.52477,0.32411,1.22076,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,10034.6,0.43847,0.26232,1.19752,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,10141.1,0.42494,0.25562,1.18405,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,10247.2,0.41954,0.25304,1.17816,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,10353,0.41483,0.25111,1.17379,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,10459.2,0.41002,0.24881,1.16937,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,10565,0.40674,0.24735,1.16772,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,10671.3,0.40144,0.24484,1.16337,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,10777.3,0.39795,0.24318,1.15801,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,10883,0.39433,0.24172,1.15607,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
100,11189.3,0.39042,0.24033,1.15041,0.99832,0.9968,0.99498,0.96341,0.34542,0.20906,1.12071,0.000199,0.000199,0.000199
