epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,10407.7,nan,nan,nan,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,10585.9,nan,nan,nan,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,10764.8,nan,nan,nan,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,10943.8,nan,nan,nan,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,11122.6,nan,nan,nan,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,11300.8,nan,nan,nan,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,11479.4,nan,nan,nan,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,11657.8,nan,nan,nan,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,11836.6,nan,nan,nan,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,12015.5,nan,nan,nan,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,12195.3,nan,nan,nan,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,12374.5,nan,nan,nan,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,12553.6,nan,nan,nan,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,12732.7,nan,nan,nan,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,12912.5,nan,nan,nan,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,13091.2,nan,nan,nan,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,13271.3,nan,nan,nan,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,13450.8,nan,nan,nan,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,13630.9,nan,nan,nan,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,13811,nan,nan,nan,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
