epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,5787.78,0.74433,0.40697,1.54767,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,5897.01,0.74017,0.40438,1.53974,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,6006.13,0.7365,0.40384,1.53691,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,6115.82,0.73172,0.4012,1.53385,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,6225.41,0.7291,0.39956,1.53224,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,6334.29,0.72609,0.39813,1.52929,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,6443.64,0.7225,0.39624,1.52453,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,6552.9,0.71936,0.39522,1.52254,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,6661.89,0.71676,0.39415,1.5242,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,6770.69,0.71248,0.39209,1.51956,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,6879.61,0.71097,0.39088,1.51627,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,6988.35,0.70689,0.38913,1.51582,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,7096.86,0.70544,0.38831,1.51488,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,7205.84,0.701,0.3854,1.50958,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,7314.41,0.6968,0.38377,1.50491,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,7422.99,0.69577,0.38341,1.50536,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,7531.19,0.69368,0.38285,1.50515,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,7638.88,0.68896,0.38096,1.50388,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,7746.52,0.68625,0.37879,1.49875,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,7854.98,0.6833,0.37818,1.49628,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,7964,0.67992,0.377,1.49584,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,8073.46,0.67556,0.37442,1.49033,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,8182.22,0.6737,0.37333,1.49062,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,8290.79,0.66966,0.37196,1.48557,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,8399.67,0.66785,0.3713,1.48594,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,8508.47,0.66536,0.37026,1.48207,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,8617.39,0.66375,0.36858,1.48304,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,8726.27,0.66089,0.36785,1.48287,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
