epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,34381.7,2.26424,4.69542,2.59884,0.00173,0,0,0,0,0,0,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,35302.1,2.26378,4.69343,2.59802,0.00165,0,0,0,0,0,0,0,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,36223.4,2.26488,4.69678,2.59887,0.00158,0,0,0,0,0,0,0,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,37145.4,2.2616,4.6943,2.59749,0.00141,0,0,0,0,0,0,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,38066.4,2.26312,4.69565,2.60027,0.00127,0,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,38988.9,2.26289,4.69435,2.59785,0.00143,0,0,0,0,0,0,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,39910.9,2.26116,4.69435,2.59787,0.00138,0,0,0,0,0,0,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,40831.9,2.26211,4.69327,2.59755,0.00132,0,0,0,0,0,0,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,41753,2.2611,4.69238,2.5968,0.00127,0,0,0,0,0,0,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,42674.2,2.26044,4.6946,2.59759,0.00121,0,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,43596.2,2.26022,4.6959,2.59797,0.00117,0,0,0,0,0,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,44518.2,2.2626,4.69184,2.59807,0.00111,0,0,0,0,0,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,45441.5,2.26153,4.69306,2.59908,0.00105,0,0,0,0,0,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,46362,2.25894,4.69352,2.59887,0.00101,0,0,0,0,0,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,47285.3,2.26108,4.69651,2.59866,0.00096,0,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,48205.9,2.26175,4.69458,2.59842,0.00091,0,0,0,0,0,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,49127.2,2.26029,4.69494,2.59736,0.00085,0,0,0,0,0,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,50049.1,2.26408,4.69271,2.5965,0.00078,0,0,0,0,0,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,50969.6,2.26132,4.69267,2.59555,0.00075,0,0,0,0,0,0,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,51890.5,2.26108,4.69349,2.59694,0.00071,0,0,0,0,0,0,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,52811.5,2.2639,4.69565,2.59591,0.00068,0,0,0,0,0,0,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,53733.3,2.26275,4.69372,2.59557,0.00062,0,0,0,0,0,0,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,54654,2.26059,4.6937,2.59487,0.00058,0,0,0,0,0,0,0,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,55576.8,2.25965,4.69241,2.597,0.00056,0,0,0,0,0,0,0,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,56498.7,2.25948,4.69297,2.59681,0.00049,0,0,0,0,0,0,0,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,57419.7,2.25732,4.69361,2.59709,0.00046,0,0,0,0,0,0,0,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,58340.8,2.25954,4.69447,2.59724,0.00043,0,0,0,0,0,0,0,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,59263.3,2.25779,4.69529,2.59688,0.0004,0,0,0,0,0,0,0,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,60183.5,2.25547,4.6951,2.59726,0.00036,0,0,0,0,0,0,0,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,61104.5,2.25712,4.69549,2.59706,0.00033,0,0,0,0,0,0,0,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,62023.2,2.25856,4.69391,2.59943,0.0003,0,0,0,0,0,0,0,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,62940.5,2.25959,4.69453,2.59549,0.00026,0,0,0,0,0,0,0,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,63860.3,2.25851,4.69356,2.59524,0.00023,0,0,0,0,0,0,0,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,64781.2,2.25689,4.69392,2.59653,0.00019,0,0,0,0,0,0,0,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,65701.3,2.25502,4.69519,2.5972,0.00018,0,0,0,0,0,0,0,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,66622.4,2.2544,4.69458,2.59749,0.00014,0,0,0,0,0,0,0,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,67542.3,2.25474,4.6919,2.59712,0.00012,0,0,0,0,0,0,0,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,68462.4,2.25757,4.69376,2.59558,0.0001,0,0,0,0,0,0,0,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,69383.9,2.25546,4.69304,2.59524,7e-05,0,0,0,0,0,0,0,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,70302.3,2.25522,4.69233,2.59512,6e-05,0,0,0,0,0,0,0,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,71220.9,2.25347,4.69389,2.59638,5e-05,0,0,0,0,0,0,0,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,72140.6,2.25491,4.69259,2.59399,5e-05,0,0,0,0,0,0,0,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,73059.2,2.25545,4.69133,2.59476,4e-05,0,0,0,0,0,0,0,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,73978.5,2.25406,4.68884,2.59593,4e-05,0,0,0,0,0,0,0,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,74899.7,2.25373,4.69491,2.59813,4e-05,0,0,0,0,0,0,0,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,75821.4,2.25447,4.68979,2.59533,4e-05,0,0,0,0,0,0,0,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,76743.2,2.25365,4.69356,2.59532,3e-05,0,0,0,0,0,0,0,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,77663.6,2.25536,4.69307,2.59715,3e-05,0,0,0,0,0,0,0,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,78584.6,2.25659,4.69263,2.59427,3e-05,0,0,0,0,0,0,0,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,79504.7,2.25405,4.69326,2.59515,3e-05,0,0,0,0,0,0,0,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,80426,2.25582,4.69265,2.59389,3e-05,0,0,0,0,0,0,0,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,81348.5,2.25302,4.69029,2.59391,3e-05,0,0,0,0,0,0,0,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,82270.8,2.25279,4.69211,2.59476,3e-05,0,0,0,0,0,0,0,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,83194.1,2.25228,4.69397,2.59492,3e-05,0,0,0,0,0,0,0,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,84271.7,2.34505,4.76031,2.75472,6e-05,0,0,0,0,0,0,0,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,85187.8,2.34347,4.7316,2.75323,6e-05,0,0,0,0,0,0,0,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,86099.4,2.34898,4.72762,2.75208,6e-05,0,0,0,0,0,0,0,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,87013.2,2.34511,4.72679,2.75291,6e-05,0,0,0,0,0,0,0,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,87928.5,2.34565,4.72566,2.75222,6e-05,0,0,0,0,0,0,0,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,88843.4,2.34272,4.72363,2.75259,6e-05,0,0,0,0,0,0,0,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,89760.1,2.34522,4.72385,2.75202,6e-05,0,0,0,0,0,0,0,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,90684.8,2.34561,4.72492,2.75252,6e-05,0,0,0,0,0,0,0,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,91601.8,2.34412,4.72269,2.75386,6e-05,0,0,0,0,0,0,0,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
