epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,32499.4,2.18832,4.66812,2.88579,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,33114.2,2.1876,4.66788,2.88521,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,33726.6,2.18731,4.66914,2.8859,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,34343,2.18704,4.66855,2.88532,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,34959.4,2.18839,4.66756,2.88458,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,35574.1,2.18786,4.66865,2.88475,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,36190.6,2.18701,4.66653,2.88501,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,36806.7,2.18693,4.66873,2.88435,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,37421.3,2.1855,4.66584,2.8838,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,38039.5,2.18769,4.66749,2.88572,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,38655.5,2.1869,4.66754,2.88305,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,39268.3,2.18484,4.6694,2.88424,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,39884.2,2.18616,4.66814,2.88442,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,40497,2.18297,4.67047,2.88409,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,41112.9,2.18722,4.66705,2.88474,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,41727,2.18466,4.66771,2.88468,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,42340.1,2.18458,4.66793,2.88289,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,42958.5,2.1847,4.66862,2.88455,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
